U+0023	#	['NUMBER', 'SIGN']
U+0F3F	༿	['TIBETAN', 'SIGN', 'MAR', 'TSHES']
U+0F71	ཱ	['TIBETAN', 'VOWEL', 'SIGN', 'AA']
U+0F72	ི	['TIBETAN', 'VOWEL', 'SIGN', 'I']
U+0F73	ཱི	['TIBETAN', 'VOWEL', 'SIGN', 'II']
U+0F74	ུ	['TIBETAN', 'VOWEL', 'SIGN', 'U']
U+0F75	ཱུ	['TIBETAN', 'VOWEL', 'SIGN', 'UU']
U+0F76	ྲྀ	['TIBETAN', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+0F77	ཷ	['TIBETAN', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+0F78	ླྀ	['TIBETAN', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+0F79	ཹ	['TIBETAN', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+0F7A	ེ	['TIBETAN', 'VOWEL', 'SIGN', 'E']
U+0F7B	ཻ	['TIBETAN', 'VOWEL', 'SIGN', 'EE']
U+0F7C	ོ	['TIBETAN', 'VOWEL', 'SIGN', 'O']
U+0F7D	ཽ	['TIBETAN', 'VOWEL', 'SIGN', 'OO']
U+0F7E	ཾ	['TIBETAN', 'SIGN', 'RJES', 'SU', 'NGA', 'RO']
U+0F7F	ཿ	['TIBETAN', 'SIGN', 'RNAM', 'BCAD']
U+0F80	ྀ	['TIBETAN', 'VOWEL', 'SIGN', 'REVERSED', 'I']
U+0F81	ཱྀ	['TIBETAN', 'VOWEL', 'SIGN', 'REVERSED', 'II']
U+0F82	ྂ	['TIBETAN', 'SIGN', 'NYI', 'ZLA', 'NAA', 'DA']
U+0F83	ྃ	['TIBETAN', 'SIGN', 'SNA', 'LDAN']
U+0F86	྆	['TIBETAN', 'SIGN', 'LCI', 'RTAGS']
U+0F87	྇	['TIBETAN', 'SIGN', 'YANG', 'RTAGS']
U+0F88	ྈ	['TIBETAN', 'SIGN', 'LCE', 'TSA', 'CAN']
U+0F89	ྉ	['TIBETAN', 'SIGN', 'MCHU', 'CAN']
U+0F8A	ྊ	['TIBETAN', 'SIGN', 'GRU', 'CAN', 'RGYINGS']
U+0F8B	ྋ	['TIBETAN', 'SIGN', 'GRU', 'MED', 'RGYINGS']
U+0F8C	ྌ	['TIBETAN', 'SIGN', 'INVERTED', 'MCHU', 'CAN']
U+0F8D	ྍ	['TIBETAN', 'SUBJOINED', 'SIGN', 'LCE', 'TSA', 'CAN']
U+0F8E	ྎ	['TIBETAN', 'SUBJOINED', 'SIGN', 'MCHU', 'CAN']
U+0F8F	ྏ	['TIBETAN', 'SUBJOINED', 'SIGN', 'INVERTED', 'MCHU', 'CAN']
U+0FC0	࿀	['TIBETAN', 'CANTILLATION', 'SIGN', 'HEAVY', 'BEAT']
U+0FC1	࿁	['TIBETAN', 'CANTILLATION', 'SIGN', 'LIGHT', 'BEAT']
U+0FC2	࿂	['TIBETAN', 'CANTILLATION', 'SIGN', 'CANG', 'TE', 'U']
U+0FC3	࿃	['TIBETAN', 'CANTILLATION', 'SIGN', 'SBUB', 'CHAL']
U+0FCE	࿎	['TIBETAN', 'SIGN', 'RDEL', 'NAG', 'RDEL', 'DKAR']
U+0FCF	࿏	['TIBETAN', 'SIGN', 'RDEL', 'NAG', 'GSUM']
U+0FD5	࿕	['RIGHT', 'FACING', 'SVASTI', 'SIGN']
U+0FD6	࿖	['LEFT', 'FACING', 'SVASTI', 'SIGN']
U+0FD7	࿗	['RIGHT', 'FACING', 'SVASTI', 'SIGN', 'WITH', 'DOTS']
U+0FD8	࿘	['LEFT', 'FACING', 'SVASTI', 'SIGN', 'WITH', 'DOTS']
U+102B	ါ	['MYANMAR', 'VOWEL', 'SIGN', 'TALL', 'AA']
U+102C	ာ	['MYANMAR', 'VOWEL', 'SIGN', 'AA']
U+102D	ိ	['MYANMAR', 'VOWEL', 'SIGN', 'I']
U+102E	ီ	['MYANMAR', 'VOWEL', 'SIGN', 'II']
U+102F	ု	['MYANMAR', 'VOWEL', 'SIGN', 'U']
U+1030	ူ	['MYANMAR', 'VOWEL', 'SIGN', 'UU']
U+1031	ေ	['MYANMAR', 'VOWEL', 'SIGN', 'E']
U+1032	ဲ	['MYANMAR', 'VOWEL', 'SIGN', 'AI']
U+1033	ဳ	['MYANMAR', 'VOWEL', 'SIGN', 'MON', 'II']
U+1034	ဴ	['MYANMAR', 'VOWEL', 'SIGN', 'MON', 'O']
U+1035	ဵ	['MYANMAR', 'VOWEL', 'SIGN', 'E', 'ABOVE']
U+1036	ံ	['MYANMAR', 'SIGN', 'ANUSVARA']
U+1037	့	['MYANMAR', 'SIGN', 'DOT', 'BELOW']
U+1038	း	['MYANMAR', 'SIGN', 'VISARGA']
U+1039	္	['MYANMAR', 'SIGN', 'VIRAMA']
U+103A	်	['MYANMAR', 'SIGN', 'ASAT']
U+103B	ျ	['MYANMAR', 'CONSONANT', 'SIGN', 'MEDIAL', 'YA']
U+103C	ြ	['MYANMAR', 'CONSONANT', 'SIGN', 'MEDIAL', 'RA']
U+103D	ွ	['MYANMAR', 'CONSONANT', 'SIGN', 'MEDIAL', 'WA']
U+103E	ှ	['MYANMAR', 'CONSONANT', 'SIGN', 'MEDIAL', 'HA']
U+104A	၊	['MYANMAR', 'SIGN', 'LITTLE', 'SECTION']
U+104B	။	['MYANMAR', 'SIGN', 'SECTION']
U+1056	ၖ	['MYANMAR', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+1057	ၗ	['MYANMAR', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+1058	ၘ	['MYANMAR', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+1059	ၙ	['MYANMAR', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+105E	ၞ	['MYANMAR', 'CONSONANT', 'SIGN', 'MON', 'MEDIAL', 'NA']
U+105F	ၟ	['MYANMAR', 'CONSONANT', 'SIGN', 'MON', 'MEDIAL', 'MA']
U+1060	ၠ	['MYANMAR', 'CONSONANT', 'SIGN', 'MON', 'MEDIAL', 'LA']
U+1062	ၢ	['MYANMAR', 'VOWEL', 'SIGN', 'SGAW', 'KAREN', 'EU']
U+1067	ၧ	['MYANMAR', 'VOWEL', 'SIGN', 'WESTERN', 'PWO', 'KAREN', 'EU']
U+1068	ၨ	['MYANMAR', 'VOWEL', 'SIGN', 'WESTERN', 'PWO', 'KAREN', 'UE']
U+1069	ၩ	['MYANMAR', 'SIGN', 'WESTERN', 'PWO', 'KAREN', 'TONE', '1']
U+106A	ၪ	['MYANMAR', 'SIGN', 'WESTERN', 'PWO', 'KAREN', 'TONE', '2']
U+106B	ၫ	['MYANMAR', 'SIGN', 'WESTERN', 'PWO', 'KAREN', 'TONE', '3']
U+106C	ၬ	['MYANMAR', 'SIGN', 'WESTERN', 'PWO', 'KAREN', 'TONE', '4']
U+106D	ၭ	['MYANMAR', 'SIGN', 'WESTERN', 'PWO', 'KAREN', 'TONE', '5']
U+1071	ၱ	['MYANMAR', 'VOWEL', 'SIGN', 'GEBA', 'KAREN', 'I']
U+1072	ၲ	['MYANMAR', 'VOWEL', 'SIGN', 'KAYAH', 'OE']
U+1073	ၳ	['MYANMAR', 'VOWEL', 'SIGN', 'KAYAH', 'U']
U+1074	ၴ	['MYANMAR', 'VOWEL', 'SIGN', 'KAYAH', 'EE']
U+1082	ႂ	['MYANMAR', 'CONSONANT', 'SIGN', 'SHAN', 'MEDIAL', 'WA']
U+1083	ႃ	['MYANMAR', 'VOWEL', 'SIGN', 'SHAN', 'AA']
U+1084	ႄ	['MYANMAR', 'VOWEL', 'SIGN', 'SHAN', 'E']
U+1085	ႅ	['MYANMAR', 'VOWEL', 'SIGN', 'SHAN', 'E', 'ABOVE']
U+1086	ႆ	['MYANMAR', 'VOWEL', 'SIGN', 'SHAN', 'FINAL', 'Y']
U+1087	ႇ	['MYANMAR', 'SIGN', 'SHAN', 'TONE', '2']
U+1088	ႈ	['MYANMAR', 'SIGN', 'SHAN', 'TONE', '3']
U+1089	ႉ	['MYANMAR', 'SIGN', 'SHAN', 'TONE', '5']
U+108A	ႊ	['MYANMAR', 'SIGN', 'SHAN', 'TONE', '6']
U+108B	ႋ	['MYANMAR', 'SIGN', 'SHAN', 'COUNCIL', 'TONE', '2']
U+108C	ႌ	['MYANMAR', 'SIGN', 'SHAN', 'COUNCIL', 'TONE', '3']
U+108D	ႍ	['MYANMAR', 'SIGN', 'SHAN', 'COUNCIL', 'EMPHATIC', 'TONE']
U+108F	ႏ	['MYANMAR', 'SIGN', 'RUMAI', 'PALAUNG', 'TONE', '5']
U+109A	ႚ	['MYANMAR', 'SIGN', 'KHAMTI', 'TONE', '1']
U+109B	ႛ	['MYANMAR', 'SIGN', 'KHAMTI', 'TONE', '3']
U+109C	ႜ	['MYANMAR', 'VOWEL', 'SIGN', 'AITON', 'A']
U+109D	ႝ	['MYANMAR', 'VOWEL', 'SIGN', 'AITON', 'AI']
U+10FE	ჾ	['GEORGIAN', 'LETTER', 'HARD', 'SIGN']
U+10FF	ჿ	['GEORGIAN', 'LETTER', 'LABIAL', 'SIGN']
U+166D	᙭	['CANADIAN', 'SYLLABICS', 'CHI', 'SIGN']
U+1712	ᜒ	['TAGALOG', 'VOWEL', 'SIGN', 'I']
U+1713	ᜓ	['TAGALOG', 'VOWEL', 'SIGN', 'U']
U+1714	᜔	['TAGALOG', 'SIGN', 'VIRAMA']
U+1715	᜕	['TAGALOG', 'SIGN', 'PAMUDPOD']
U+1732	ᜲ	['HANUNOO', 'VOWEL', 'SIGN', 'I']
U+1733	ᜳ	['HANUNOO', 'VOWEL', 'SIGN', 'U']
U+1734	᜴	['HANUNOO', 'SIGN', 'PAMUDPOD']
U+1752	ᝒ	['BUHID', 'VOWEL', 'SIGN', 'I']
U+1753	ᝓ	['BUHID', 'VOWEL', 'SIGN', 'U']
U+1772	ᝲ	['TAGBANWA', 'VOWEL', 'SIGN', 'I']
U+1773	ᝳ	['TAGBANWA', 'VOWEL', 'SIGN', 'U']
U+17B6	ា	['KHMER', 'VOWEL', 'SIGN', 'AA']
U+17B7	ិ	['KHMER', 'VOWEL', 'SIGN', 'I']
U+17B8	ី	['KHMER', 'VOWEL', 'SIGN', 'II']
U+17B9	ឹ	['KHMER', 'VOWEL', 'SIGN', 'Y']
U+17BA	ឺ	['KHMER', 'VOWEL', 'SIGN', 'YY']
U+17BB	ុ	['KHMER', 'VOWEL', 'SIGN', 'U']
U+17BC	ូ	['KHMER', 'VOWEL', 'SIGN', 'UU']
U+17BD	ួ	['KHMER', 'VOWEL', 'SIGN', 'UA']
U+17BE	ើ	['KHMER', 'VOWEL', 'SIGN', 'OE']
U+17BF	ឿ	['KHMER', 'VOWEL', 'SIGN', 'YA']
U+17C0	ៀ	['KHMER', 'VOWEL', 'SIGN', 'IE']
U+17C1	េ	['KHMER', 'VOWEL', 'SIGN', 'E']
U+17C2	ែ	['KHMER', 'VOWEL', 'SIGN', 'AE']
U+17C3	ៃ	['KHMER', 'VOWEL', 'SIGN', 'AI']
U+17C4	ោ	['KHMER', 'VOWEL', 'SIGN', 'OO']
U+17C5	ៅ	['KHMER', 'VOWEL', 'SIGN', 'AU']
U+17C6	ំ	['KHMER', 'SIGN', 'NIKAHIT']
U+17C7	ះ	['KHMER', 'SIGN', 'REAHMUK']
U+17C8	ៈ	['KHMER', 'SIGN', 'YUUKALEAPINTU']
U+17C9	៉	['KHMER', 'SIGN', 'MUUSIKATOAN']
U+17CA	៊	['KHMER', 'SIGN', 'TRIISAP']
U+17CB	់	['KHMER', 'SIGN', 'BANTOC']
U+17CC	៌	['KHMER', 'SIGN', 'ROBAT']
U+17CD	៍	['KHMER', 'SIGN', 'TOANDAKHIAT']
U+17CE	៎	['KHMER', 'SIGN', 'KAKABAT']
U+17CF	៏	['KHMER', 'SIGN', 'AHSDA']
U+17D0	័	['KHMER', 'SIGN', 'SAMYOK', 'SANNYA']
U+17D1	៑	['KHMER', 'SIGN', 'VIRIAM']
U+17D2	្	['KHMER', 'SIGN', 'COENG']
U+17D3	៓	['KHMER', 'SIGN', 'BATHAMASAT']
U+17D4	។	['KHMER', 'SIGN', 'KHAN']
U+17D5	៕	['KHMER', 'SIGN', 'BARIYOOSAN']
U+17D6	៖	['KHMER', 'SIGN', 'CAMNUC', 'PII', 'KUUH']
U+17D7	ៗ	['KHMER', 'SIGN', 'LEK', 'TOO']
U+17D8	៘	['KHMER', 'SIGN', 'BEYYAL']
U+17D9	៙	['KHMER', 'SIGN', 'PHNAEK', 'MUAN']
U+17DA	៚	['KHMER', 'SIGN', 'KOOMUUT']
U+17DC	ៜ	['KHMER', 'SIGN', 'AVAKRAHASANYA']
U+17DD	៝	['KHMER', 'SIGN', 'ATTHACAN']
U+1843	ᡃ	['MONGOLIAN', 'LETTER', 'TODO', 'LONG', 'VOWEL', 'SIGN']
U+1920	ᤠ	['LIMBU', 'VOWEL', 'SIGN', 'A']
U+1921	ᤡ	['LIMBU', 'VOWEL', 'SIGN', 'I']
U+1922	ᤢ	['LIMBU', 'VOWEL', 'SIGN', 'U']
U+1923	ᤣ	['LIMBU', 'VOWEL', 'SIGN', 'EE']
U+1924	ᤤ	['LIMBU', 'VOWEL', 'SIGN', 'AI']
U+1925	ᤥ	['LIMBU', 'VOWEL', 'SIGN', 'OO']
U+1926	ᤦ	['LIMBU', 'VOWEL', 'SIGN', 'AU']
U+1927	ᤧ	['LIMBU', 'VOWEL', 'SIGN', 'E']
U+1928	ᤨ	['LIMBU', 'VOWEL', 'SIGN', 'O']
U+1939	᤹	['LIMBU', 'SIGN', 'MUKPHRENG']
U+193A	᤺	['LIMBU', 'SIGN', 'KEMPHRENG']
U+193B	᤻	['LIMBU', 'SIGN', 'SA', 'I']
U+1940	᥀	['LIMBU', 'SIGN', 'LOO']
U+19B0	ᦰ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'VOWEL', 'SHORTENER']
U+19B1	ᦱ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'AA']
U+19B2	ᦲ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'II']
U+19B3	ᦳ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'U']
U+19B4	ᦴ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'UU']
U+19B5	ᦵ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'E']
U+19B6	ᦶ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'AE']
U+19B7	ᦷ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'O']
U+19B8	ᦸ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'OA']
U+19B9	ᦹ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'UE']
U+19BA	ᦺ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'AY']
U+19BB	ᦻ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'AAY']
U+19BC	ᦼ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'UY']
U+19BD	ᦽ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'OY']
U+19BE	ᦾ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'OAY']
U+19BF	ᦿ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'UEY']
U+19C0	ᧀ	['NEW', 'TAI', 'LUE', 'VOWEL', 'SIGN', 'IY']
U+19DE	᧞	['NEW', 'TAI', 'LUE', 'SIGN', 'LAE']
U+19DF	᧟	['NEW', 'TAI', 'LUE', 'SIGN', 'LAEV']
U+1A17	ᨗ	['BUGINESE', 'VOWEL', 'SIGN', 'I']
U+1A18	ᨘ	['BUGINESE', 'VOWEL', 'SIGN', 'U']
U+1A19	ᨙ	['BUGINESE', 'VOWEL', 'SIGN', 'E']
U+1A1A	ᨚ	['BUGINESE', 'VOWEL', 'SIGN', 'O']
U+1A1B	ᨛ	['BUGINESE', 'VOWEL', 'SIGN', 'AE']
U+1A55	ᩕ	['TAI', 'THAM', 'CONSONANT', 'SIGN', 'MEDIAL', 'RA']
U+1A56	ᩖ	['TAI', 'THAM', 'CONSONANT', 'SIGN', 'MEDIAL', 'LA']
U+1A57	ᩗ	['TAI', 'THAM', 'CONSONANT', 'SIGN', 'LA', 'TANG', 'LAI']
U+1A58	ᩘ	['TAI', 'THAM', 'SIGN', 'MAI', 'KANG', 'LAI']
U+1A59	ᩙ	['TAI', 'THAM', 'CONSONANT', 'SIGN', 'FINAL', 'NGA']
U+1A5A	ᩚ	['TAI', 'THAM', 'CONSONANT', 'SIGN', 'LOW', 'PA']
U+1A5B	ᩛ	['TAI', 'THAM', 'CONSONANT', 'SIGN', 'HIGH', 'RATHA', 'OR', 'LOW', 'PA']
U+1A5C	ᩜ	['TAI', 'THAM', 'CONSONANT', 'SIGN', 'MA']
U+1A5D	ᩝ	['TAI', 'THAM', 'CONSONANT', 'SIGN', 'BA']
U+1A5E	ᩞ	['TAI', 'THAM', 'CONSONANT', 'SIGN', 'SA']
U+1A60	᩠	['TAI', 'THAM', 'SIGN', 'SAKOT']
U+1A61	ᩡ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'A']
U+1A62	ᩢ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'MAI', 'SAT']
U+1A63	ᩣ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'AA']
U+1A64	ᩤ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'TALL', 'AA']
U+1A65	ᩥ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'I']
U+1A66	ᩦ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'II']
U+1A67	ᩧ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'UE']
U+1A68	ᩨ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'UUE']
U+1A69	ᩩ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'U']
U+1A6A	ᩪ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'UU']
U+1A6B	ᩫ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'O']
U+1A6C	ᩬ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'OA', 'BELOW']
U+1A6D	ᩭ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'OY']
U+1A6E	ᩮ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'E']
U+1A6F	ᩯ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'AE']
U+1A70	ᩰ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'OO']
U+1A71	ᩱ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'AI']
U+1A72	ᩲ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'THAM', 'AI']
U+1A73	ᩳ	['TAI', 'THAM', 'VOWEL', 'SIGN', 'OA', 'ABOVE']
U+1A74	ᩴ	['TAI', 'THAM', 'SIGN', 'MAI', 'KANG']
U+1A75	᩵	['TAI', 'THAM', 'SIGN', 'TONE', '1']
U+1A76	᩶	['TAI', 'THAM', 'SIGN', 'TONE', '2']
U+1A77	᩷	['TAI', 'THAM', 'SIGN', 'KHUEN', 'TONE', '3']
U+1A78	᩸	['TAI', 'THAM', 'SIGN', 'KHUEN', 'TONE', '4']
U+1A79	᩹	['TAI', 'THAM', 'SIGN', 'KHUEN', 'TONE', '5']
U+1A7A	᩺	['TAI', 'THAM', 'SIGN', 'RA', 'HAAM']
U+1A7B	᩻	['TAI', 'THAM', 'SIGN', 'MAI', 'SAM']
U+1A7C	᩼	['TAI', 'THAM', 'SIGN', 'KHUEN', 'LUE', 'KARAN']
U+1AA0	᪠	['TAI', 'THAM', 'SIGN', 'WIANG']
U+1AA1	᪡	['TAI', 'THAM', 'SIGN', 'WIANGWAAK']
U+1AA2	᪢	['TAI', 'THAM', 'SIGN', 'SAWAN']
U+1AA3	᪣	['TAI', 'THAM', 'SIGN', 'KEOW']
U+1AA4	᪤	['TAI', 'THAM', 'SIGN', 'HOY']
U+1AA5	᪥	['TAI', 'THAM', 'SIGN', 'DOKMAI']
U+1AA6	᪦	['TAI', 'THAM', 'SIGN', 'REVERSED', 'ROTATED', 'RANA']
U+1AA7	ᪧ	['TAI', 'THAM', 'SIGN', 'MAI', 'YAMOK']
U+1AA8	᪨	['TAI', 'THAM', 'SIGN', 'KAAN']
U+1AA9	᪩	['TAI', 'THAM', 'SIGN', 'KAANKUU']
U+1AAA	᪪	['TAI', 'THAM', 'SIGN', 'SATKAAN']
U+1AAB	᪫	['TAI', 'THAM', 'SIGN', 'SATKAANKUU']
U+1AAC	᪬	['TAI', 'THAM', 'SIGN', 'HANG']
U+1AAD	᪭	['TAI', 'THAM', 'SIGN', 'CAANG']
U+1AC6	᫆	['COMBINING', 'NUMBER', 'SIGN', 'ABOVE']
U+1AC8	᫈	['COMBINING', 'PLUS', 'SIGN', 'ABOVE']
U+1AC9	᫉	['COMBINING', 'DOUBLE', 'PLUS', 'SIGN', 'ABOVE']
U+1ACA	᫊	['COMBINING', 'DOUBLE', 'PLUS', 'SIGN', 'BELOW']
U+1B00	ᬀ	['BALINESE', 'SIGN', 'ULU', 'RICEM']
U+1B01	ᬁ	['BALINESE', 'SIGN', 'ULU', 'CANDRA']
U+1B02	ᬂ	['BALINESE', 'SIGN', 'CECEK']
U+1B03	ᬃ	['BALINESE', 'SIGN', 'SURANG']
U+1B04	ᬄ	['BALINESE', 'SIGN', 'BISAH']
U+1B34	᬴	['BALINESE', 'SIGN', 'REREKAN']
U+1B35	ᬵ	['BALINESE', 'VOWEL', 'SIGN', 'TEDUNG']
U+1B36	ᬶ	['BALINESE', 'VOWEL', 'SIGN', 'ULU']
U+1B37	ᬷ	['BALINESE', 'VOWEL', 'SIGN', 'ULU', 'SARI']
U+1B38	ᬸ	['BALINESE', 'VOWEL', 'SIGN', 'SUKU']
U+1B39	ᬹ	['BALINESE', 'VOWEL', 'SIGN', 'SUKU', 'ILUT']
U+1B3A	ᬺ	['BALINESE', 'VOWEL', 'SIGN', 'RA', 'REPA']
U+1B3B	ᬻ	['BALINESE', 'VOWEL', 'SIGN', 'RA', 'REPA', 'TEDUNG']
U+1B3C	ᬼ	['BALINESE', 'VOWEL', 'SIGN', 'LA', 'LENGA']
U+1B3D	ᬽ	['BALINESE', 'VOWEL', 'SIGN', 'LA', 'LENGA', 'TEDUNG']
U+1B3E	ᬾ	['BALINESE', 'VOWEL', 'SIGN', 'TALING']
U+1B3F	ᬿ	['BALINESE', 'VOWEL', 'SIGN', 'TALING', 'REPA']
U+1B40	ᭀ	['BALINESE', 'VOWEL', 'SIGN', 'TALING', 'TEDUNG']
U+1B41	ᭁ	['BALINESE', 'VOWEL', 'SIGN', 'TALING', 'REPA', 'TEDUNG']
U+1B42	ᭂ	['BALINESE', 'VOWEL', 'SIGN', 'PEPET']
U+1B43	ᭃ	['BALINESE', 'VOWEL', 'SIGN', 'PEPET', 'TEDUNG']
U+1B80	ᮀ	['SUNDANESE', 'SIGN', 'PANYECEK']
U+1B81	ᮁ	['SUNDANESE', 'SIGN', 'PANGLAYAR']
U+1B82	ᮂ	['SUNDANESE', 'SIGN', 'PANGWISAD']
U+1BA1	ᮡ	['SUNDANESE', 'CONSONANT', 'SIGN', 'PAMINGKAL']
U+1BA2	ᮢ	['SUNDANESE', 'CONSONANT', 'SIGN', 'PANYAKRA']
U+1BA3	ᮣ	['SUNDANESE', 'CONSONANT', 'SIGN', 'PANYIKU']
U+1BA4	ᮤ	['SUNDANESE', 'VOWEL', 'SIGN', 'PANGHULU']
U+1BA5	ᮥ	['SUNDANESE', 'VOWEL', 'SIGN', 'PANYUKU']
U+1BA6	ᮦ	['SUNDANESE', 'VOWEL', 'SIGN', 'PANAELAENG']
U+1BA7	ᮧ	['SUNDANESE', 'VOWEL', 'SIGN', 'PANOLONG']
U+1BA8	ᮨ	['SUNDANESE', 'VOWEL', 'SIGN', 'PAMEPET']
U+1BA9	ᮩ	['SUNDANESE', 'VOWEL', 'SIGN', 'PANEULEUNG']
U+1BAA	᮪	['SUNDANESE', 'SIGN', 'PAMAAEH']
U+1BAB	᮫	['SUNDANESE', 'SIGN', 'VIRAMA']
U+1BAC	ᮬ	['SUNDANESE', 'CONSONANT', 'SIGN', 'PASANGAN', 'MA']
U+1BAD	ᮭ	['SUNDANESE', 'CONSONANT', 'SIGN', 'PASANGAN', 'WA']
U+1BE6	᯦	['BATAK', 'SIGN', 'TOMPI']
U+1BE7	ᯧ	['BATAK', 'VOWEL', 'SIGN', 'E']
U+1BE8	ᯨ	['BATAK', 'VOWEL', 'SIGN', 'PAKPAK', 'E']
U+1BE9	ᯩ	['BATAK', 'VOWEL', 'SIGN', 'EE']
U+1BEA	ᯪ	['BATAK', 'VOWEL', 'SIGN', 'I']
U+1BEB	ᯫ	['BATAK', 'VOWEL', 'SIGN', 'KARO', 'I']
U+1BEC	ᯬ	['BATAK', 'VOWEL', 'SIGN', 'O']
U+1BED	ᯭ	['BATAK', 'VOWEL', 'SIGN', 'KARO', 'O']
U+1BEE	ᯮ	['BATAK', 'VOWEL', 'SIGN', 'U']
U+1BEF	ᯯ	['BATAK', 'VOWEL', 'SIGN', 'U', 'FOR', 'SIMALUNGUN', 'SA']
U+1BF0	ᯰ	['BATAK', 'CONSONANT', 'SIGN', 'NG']
U+1BF1	ᯱ	['BATAK', 'CONSONANT', 'SIGN', 'H']
U+1C26	ᰦ	['LEPCHA', 'VOWEL', 'SIGN', 'AA']
U+1C27	ᰧ	['LEPCHA', 'VOWEL', 'SIGN', 'I']
U+1C28	ᰨ	['LEPCHA', 'VOWEL', 'SIGN', 'O']
U+1C29	ᰩ	['LEPCHA', 'VOWEL', 'SIGN', 'OO']
U+1C2A	ᰪ	['LEPCHA', 'VOWEL', 'SIGN', 'U']
U+1C2B	ᰫ	['LEPCHA', 'VOWEL', 'SIGN', 'UU']
U+1C2C	ᰬ	['LEPCHA', 'VOWEL', 'SIGN', 'E']
U+1C2D	ᰭ	['LEPCHA', 'CONSONANT', 'SIGN', 'K']
U+1C2E	ᰮ	['LEPCHA', 'CONSONANT', 'SIGN', 'M']
U+1C2F	ᰯ	['LEPCHA', 'CONSONANT', 'SIGN', 'L']
U+1C30	ᰰ	['LEPCHA', 'CONSONANT', 'SIGN', 'N']
U+1C31	ᰱ	['LEPCHA', 'CONSONANT', 'SIGN', 'P']
U+1C32	ᰲ	['LEPCHA', 'CONSONANT', 'SIGN', 'R']
U+1C33	ᰳ	['LEPCHA', 'CONSONANT', 'SIGN', 'T']
U+1C34	ᰴ	['LEPCHA', 'CONSONANT', 'SIGN', 'NYIN', 'DO']
U+1C35	ᰵ	['LEPCHA', 'CONSONANT', 'SIGN', 'KANG']
U+1C36	ᰶ	['LEPCHA', 'SIGN', 'RAN']
U+1C37	᰷	['LEPCHA', 'SIGN', 'NUKTA']
U+1C86	ᲆ	['CYRILLIC', 'SMALL', 'LETTER', 'TALL', 'HARD', 'SIGN']
U+1CBE	Ჾ	['GEORGIAN', 'MTAVRULI', 'CAPITAL', 'LETTER', 'HARD', 'SIGN']
U+1CBF	Ჿ	['GEORGIAN', 'MTAVRULI', 'CAPITAL', 'LETTER', 'LABIAL', 'SIGN']
U+1CD3	᳓	['VEDIC', 'SIGN', 'NIHSHVASA']
U+1CD4	᳔	['VEDIC', 'SIGN', 'YAJURVEDIC', 'MIDLINE', 'SVARITA']
U+1CE2	᳢	['VEDIC', 'SIGN', 'VISARGA', 'SVARITA']
U+1CE3	᳣	['VEDIC', 'SIGN', 'VISARGA', 'UDATTA']
